processed_title,processed_description
"['ether', 'price', 'drop', 'since', 'etf', 'launch', 'supply', 'increase', 'eth']","['u', 'ether', 'etf', 'generated', 'million', 'worth', 'selling', 'pressure', 'world', 'secondlargest', 'cryptocurrency']"
"['gateio', 'launch', 'innovation', 'fund', 'blockchain', 'center', 'abu', 'dhabi']","['fund', 'aim', 'advance', 'decentralized', 'infrastructure', 'blockchain', 'adoption', 'support', 'talent', 'u', 'asia', 'europe', 'mena', 'region']"
"['california', 'ai', 'bill', 'scrutiny', 'u', 'policymakers']","['senator', 'scott', 'wiener', 'defends', 'california', 'ai', 'bill', 'sb', 'criticism', 'nancy', 'pelosi', 'policymakers', 'emphasizing', 'need', 'oversight', 'beyond', 'tech', 'company']"
"['toncoins', 'barr', 'breakout', 'set', 'stage', 'ton', 'price', 'rally']","['ton', 'upside', 'setup', 'reinforced', 'inverse', 'headandshoulders', 'pattern', 'key', 'catalyst', 'like', 'binance', 'listing']"
"['uaes', 'rakbank', 'team', 'bitpanda', 'digital', 'asset', 'platform', 'resident']","['new', 'digital', 'asset', 'management', 'platform', 'still', 'requires', 'approval', 'central', 'bank', 'united', 'arab', 'emirate']"
"['tether', 'expands', 'usdt', 'aptos', 'blockchain', 'lower', 'fee']","['tether', 'usdt', 'live', 'aptos', 'blockchain', 'aiming', 'enhance', 'digital', 'currency', 'use', 'ultralow', 'fee']"
"['return', 'k', 'thing', 'know', 'bitcoin', 'week']","['btc', 'price', 'performance', 'getting', 'bitcoin', 'trader', 'ready', 'retest', 'lower', 'support', 'level', 'short', 'term']"
"['u', 'mull', 'applying', 'fiat', 'reporting', 'mandate', 'crypto', 'transfer']","['u', 'treasury', 'federal', 'reserve', 'plan', 'redefine', 'money', 'used', 'bank', 'secrecy', 'act', 'aim', 'include', 'cryptocurrencies', 'digital', 'asset', 'new', 'reporting', 'requirement']"
"['south', 'korean', 'crypto', 'exchange', 'employee', 'outearn', 'staff', 'major', 'bank']","['dunamus', 'consolidated', 'sale', 'first', 'quarter', 'reached', 'million', 'showing', 'increase']"
"['hashkey', 'catizen', 'join', 'force', 'ton', 'ecosystem', 'expansion']","['hashkey', 'group', 'collaboration', 'catizen', 'ton', 'ecosystem', 'mark', 'significant', 'step', 'web', 'gamefi', 'development']"
"['goldman', 'sachs', 'lower', 'u', 'recession', 'risk', 'mean', 'bitcoin']","['goldman', 'sachs', 'economist', 'said', 'federal', 'reserve', 'could', 'also', 'cut', 'rate', 'september', 'analyst', 'say', 'could', 'welcomed', 'bitcoin', 'trader']"
"['vitalik', 'register', 'defensive', 'accelerationism', 'dacc', 'en', 'domain']","['ethereum', 'cofounder', 'vitalik', 'buterin', 'paid', 'around', 'register', 'new', 'ethereum', 'name', 'service', 'domain', 'name', 'called', 'dacceth']"
"['australia', 'took', 'crypto', 'scam', 'say', 'ai', 'make', 'worse']","['australia', 'financial', 'market', 'regulator', 'say', 'due', 'evolving', 'nature', 'technology', 'becoming', 'increasingly', 'challenging', 'consumer', 'identify', 'fraudulent', 'scheme']"
"['ava', 'lab', 'coo', 'x', 'account', 'suspected', 'hacked', 'posting', 'memecoin']","['x', 'account', 'ava', 'lab', 'operating', 'chief', 'luigi', 'donorio', 'demeo', 'touting', 'memecoins', 'suspicious', 'link', 'prompting', 'many', 'warn', 'likely', 'phishing', 'scam']"
"['bitcoin', 'hodled', 'month']","['despite', 'bitcoin', 'dropping', 'alltime', 'high', 'majority', 'bitcoin', 'held', 'wallet', 'hasnt', 'sold', 'moved', 'last', 'six', 'month']"
"['weekend', 'wrap', 'google', 'sued', 'scam', 'app', 'malaysia', 'nabs', 'illegal', 'miner']","['google', 'allegedly', 'dragged', 'foot', 'taking', 'crypto', 'scam', 'app', 'allowing', 'app', 'million', 'damage', 'according', 'proposed', 'lawsuit']"
"['man', 'allegedly', 'try', 'recover', 'loss', 'bitconnect', 'kidnapping', 'two']","['indian', 'authority', 'arrested', 'man', 'allegedly', 'kidnapping', 'two', 'employee', 'bitconnect', 'creator', 'satish', 'kumbhani', 'extorting', 'million', 'crypto']"
"['clicker', 'game', 'project', 'growing', 'ton', 'blockchain']","['ton', 'ecosystem', 'seen', 'significant', 'influx', 'new', 'user', 'amid', 'promising', 'new', 'project', 'appearing', 'blockchain']"
"['bitcoin', 'smell', 'like', 'ai', 'startup', 'want', 'teleport', 'digital', 'scent']","['technology', 'could', 'also', 'help', 'detect', 'disease', 'cancer']"
"['bitcoin', 'bull', 'steer', 'clear', 'microstrategys', 'new', 'leveraged', 'etf']","['leveraged', 'etf', 'chronically', 'underperform', 'comparable', 'investment', 'better', 'way', 'place', 'bullish', 'bet', 'bitcoin', 'microstrategys', 'new', 'etf']"
"['colorado', 'church', 'group', 'tokenizes', 'chapel']","['may', 'first', 'tokenized', 'church', 'world']"
"['bitcoin', 'metric', 'line', 'bull', 'signal', 'k', 'btc', 'price', 'level', 'beat']","['bitcoin', 'giving', 'hint', 'upward', 'btc', 'price', 'phase', 'begin', 'measured', 'two', 'popular', 'trading', 'tool']"
"['coinbase', 'kucoin', 'others', 'file', 'crypto', 'license', 'application', 'turkey']","['turkish', 'capital', 'market', 'board', 'continues', 'update', 'list', 'company', 'work', 'meet', 'regulatory', 'requirement', 'turkish', 'crypto', 'market', 'poised', 'significant', 'change']"
"['crypto', 'analyst', 'doubt', 'bitcoin', 'dominance', 'going', 'back']","['crypto', 'analyst', 'benjamin', 'cowen', 'expects', 'bitcoin', 'dominance', 'make', 'final', 'move', 'either', 'september', 'latest', 'december']"
"['bitcoin', 'miner', 'may', 'gain', 'b', 'yearly', 'shift', 'ai', 'hpc', 'vaneck']","['bitcoin', 'miner', 'could', 'increase', 'profitability', 'improve', 'bad', 'balance', 'sheet', 'allocating', 'energy', 'capacity', 'ai', 'hpc', 'sector', 'according', 'vaneck']"
"['bitcoin', 'bull', 'rally', 'far', 'metamask', 'partner', 'mastercard', 'hodlers', 'digest', 'aug']","['u', 'govt', 'wont', 'sell', 'bitcoin', 'coinbase', 'harris', 'plan', 'continue', 'bidens', 'crypto', 'crackdown', 'hodlers', 'digest']"
"['america', 'learn', 'optimism', 'hodling']","['history', 'littered', 'failed', 'prediction', 'future', 'technology', 'learned', 'anything', 'along', 'way']"
"['swiss', 'tech', 'firm', 'launch', 'ai', 'made', 'human', 'brain', 'cell', 'rental', 'service']","['organoids', 'live', 'day', 'ostensibly', 'ai', 'dy']"
"['former', 'bayc', 'creative', 'director', 'jeff', 'nicholas', 'join', 'metas', 'reality', 'lab']","['nicholas', 'join', 'meta', 'executive', 'mixed', 'reality', 'producer', 'entertainment', 'experience']"
"['coinbase', 'ceo', 'brian', 'armstrong', 'ai', 'crypto', 'wallet']","['armstrong', 'statement', 'come', 'coinbase', 'launch', 'bot', 'accelerator']"
